fbid,mother_tongue,locality,occupation,age,pages_liked_1,pages_liked_2,pages_liked_3,gender,marital_status,education_school,education_college
100000,Spanish,gn_PY,Business Man,28,Shopmania,A.P.J Abdul Kalam,J.K Rowling,M,Married,Mount Carmel,Delhi technological University
100001,Hindi,es_LA,Teacher,22,Disha Patani,Terrible Tiny Tales,MS Dhoni,M,Married,Neo Convent,Amity
100002,Chinese,gn_PY,Mechanical Engineer,22,J.K Rowling,Disha Patani,Terrible Tiny Tales,F,single,Neo Convent,MIT
100003,Portugese,de_DE,Teacher,27,Disha Patani,Shopmania,Silicon Valley,F,Married,Indraprastha School,Maharaja Surajmal
100004,Portugese,cs_CZ,General Physician,30,MS Dhoni,Terrible Tiny Tales,Disha Patani,F,Married,DPS,CMU
100005,German,cx_PH,Dentist,33,Terrible Tiny Tales,Disha Patani,Narendra Modi,F,single,Neo Convent,Maharaja Surajmal
100006,Spanish,cy_GB,Civil Engineer,31,Vidyamandir Classes,Narendra Modi,J.K Rowling,F,Married,DPS,Amity
100007,Spanish,eu_ES,Mechanical Engineer,36,Mitacs Globalink,Vidyamandir Classes,MS Dhoni,M,single,Mount Carmel,Delhi technological University
100008,German,eu_ES,Dentist,25,J.K Rowling,Shopmania,Mitacs Globalink,M,single,DPS,Maharaja Surajmal
100009,English,es_ES,Dentist,26,Mitacs Globalink,Disha Patani,J.K Rowling,M,Married,Neo Convent,Amity
100010,English,cy_GB,Mechanical Engineer,25,Narendra Modi,Vidyamandir Classes,A.P.J Abdul Kalam,M,single,Neo Convent,Maharaja Surajmal
100011,Chinese,en_UD,Civil Engineer,21,Terrible Tiny Tales,J.K Rowling,Shopmania,M,Married,Oxford School,CMU
100012,German,es_ES,Mechanical Engineer,30,Disha Patani,J.K Rowling,Terrible Tiny Tales,F,Married,Neo Convent,MIT
100013,Portugese,cy_GB,Teacher,35,MS Dhoni,Narendra Modi,Terrible Tiny Tales,M,Married,Neo Convent,Delhi technological University
100014,Spanish,cx_PH,Neurologist,36,MS Dhoni,Terrible Tiny Tales,Narendra Modi,F,Married,DPS,CMU
100015,Spanish,da_DK,Business Man,40,Shopmania,MS Dhoni,Disha Patani,M,Married,DPS,Delhi technological University
